device_name,device_type,chipset,base_android_os,current_android_os,current_user_interface,official_release_date,source
Oppo F19 Pro+ 5G,Phone,Mediatek Dimensity 800U (7 nm),Android 11,Android 12,ColorOS 13,3/20/2021,https://www.gsmarena.com/oppo_f19_pro+_5g-10762.php
Oppo Find X3 Neo,Phone,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Android 11,Android 12,ColorOS 13,3/20/2021,https://www.gsmarena.com/oppo_find_x3_neo-10787.php
Oppo A94,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 11,Android 13,ColorOS 13,3/20/2021,https://www.gsmarena.com/oppo_a94-10765.php
Oppo F19 Pro,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 11,Android 15�16,ColorOS 15�16,3/20/2021,https://www.gsmarena.com/oppo_f19_pro-10761.php
Oppo Find X3,Phone,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Android 11,Android 14,ColorOS 14,3/20/2021,https://www.gsmarena.com/oppo_find_x3-10786.php
Oppo Find X3 Lite,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 11,Android 14,ColorOS 14,3/20/2021,https://www.gsmarena.com/oppo_find_x3_lite-10719.php
Oppo Find X3 Pro,Phone,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Android 11,Android 14,ColorOS 14,3/20/2021,https://www.gsmarena.com/oppo_find_x3_pro-10627.php
Oppo K9,Phone,Qualcomm SM7250-AC Snapdragon 768G 5G (7 nm),Android 11,Android 13,ColorOS 13,5/14/2021,https://www.gsmarena.com/oppo_k9-10894.php
Oppo A16K,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 11,Android 13,ColorOS 13,11/18/2021,https://www.gsmarena.com/oppo_a16k-11200.php
Oppo Reno7 5G (China),Phone,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Android 11,Android 14,ColorOS 14,11/18/2021,https://www.gsmarena.com/oppo_reno7_5g_(china)-11160.php
Oppo Reno7 Pro 5G,Phone,Mediatek Dimensity 1200 Max,Android 11,Android 14,ColorOS 14,11/18/2021,https://www.gsmarena.com/oppo_reno7_pro_5g-11190.php
Oppo Reno7 SE 5G,Phone,Mediatek Dimensity 900 (6 nm),Android 11,Android 14,ColorOS 14,11/18/2021,https://www.gsmarena.com/oppo_reno7_se_5g-11191.php
Oppo A54s,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 11,Android 13,ColorOS 13,10/1/2021,https://www.gsmarena.com/oppo_a54s-11144.php
Oppo A55,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 11,Android 13,ColorOS 13,10/1/2021,https://www.gsmarena.com/oppo_a55-11114.php
Oppo A56 5G,Phone,Mediatek Dimensity 700 (7 nm),Android 11,Android 14,ColorOS 14,10/1/2021,https://www.gsmarena.com/oppo_a56_5g-11172.php
Oppo K9s,Phone,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Android 11,Android 13,ColorOS 13,10/1/2021,https://www.gsmarena.com/oppo_k9s-11151.php
Oppo Reno6 Pro 5G (Snapdragon),Phone,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Android 11,Android 12,ColorOS 14,9/1/2021,https://www.gsmarena.com/oppo_reno6_pro_5g_(snapdragon)-11093.php
Oppo F19s,Phone,Qualcomm SM6115 Snapdragon 662 (11 nm),Android 11,Android 13,ColorOS 14,9/1/2021,https://www.gsmarena.com/oppo_f19s-11108.php
Oppo K9 Pro,Phone,Mediatek Dimensity 1200 (6 nm),Android 11,Android 13,ColorOS 13,9/1/2021,https://www.gsmarena.com/oppo_k9_pro-11111.php
Oppo A55s,Phone,Mediatek Dimensity 700 (7 nm),Android 11,Android 13,ColorOS 13,12/21/2026,https://www.gsmarena.com/oppo_a55s-11482.php
Oppo Reno7 Lite,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 11,Android 14,ColorOS 14,4/22/2026,https://www.gsmarena.com/oppo_reno7_lite-11458.php
Oppo A57,Phone,Mediatek Dimensity 810 (6 nm),Android 12,Android 14,ColorOS 14,4/22/2026,https://www.gsmarena.com/oppo_a57-11476.php
Oppo F21 Pro,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 12,Android 14�15,ColorOS 14�15,4/22/2026,https://www.gsmarena.com/oppo_f21_pro-11450.php
Oppo F21 Pro 5G,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 12,Android 14�15,ColorOS 14�15,4/22/2026,https://www.gsmarena.com/oppo_f21_pro_5g-11471.php
Oppo K10 5G (China),Phone,Mediatek Dimensity 8000 Max (5 nm),Android 12,Android 14�16,ColorOS 14�16,4/22/2026,https://www.gsmarena.com/oppo_k10_5g_(china)-11481.php
Oppo K10 Pro,Phone,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Android 12,Android 14�16,ColorOS 14�16,4/22/2026,https://www.gsmarena.com/oppo_k10_pro-11467.php
Oppo A57e,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 12,Android 14,ColorOS 14,9/22/2022,https://www.gsmarena.com/oppo_a57e-11836.php
Oppo A57s,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 12,Android 14,ColorOS 14,8/22/2022,https://www.gsmarena.com/oppo_a57s-11835.php
Oppo A77 4G,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 12,Android 14,ColorOS 14,8/22/2022,https://www.gsmarena.com/oppo_a77_4g-11734.php
Oppo Reno8 4G,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 12,Android 14,ColorOS 14,8/22/2022,https://www.gsmarena.com/oppo_reno8_4g-11743.php
Oppo Reno8 Z,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 12,Android 14,ColorOS 14,8/22/2022,https://www.gsmarena.com/oppo_reno8_z-11735.php
Oppo A58x,Phone,Mediatek Dimensity 700 (7 nm),Android 12,Android 14,ColorOS 14,12/20/2022,https://www.gsmarena.com/oppo_a58x-12027.php
Oppo Find N2,Phone,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Android 13,Android 15,ColorOS 14�15,12/20/2022,https://www.gsmarena.com/oppo_find_n2-12002.php
Oppo Find N2 Flip,Phone,Mediatek Dimensity 9000+ (4 nm),Android 13,Android 15,ColorOS 14�15,12/20/2022,https://www.gsmarena.com/oppo_find_n2_flip-12014.php
Oppo A76,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 11,Android 15�16,ColorOS 15�16,2/20/2022,https://www.gsmarena.com/oppo_a76-11367.php
Oppo Find X5 Lite,Phone,Mediatek Dimensity 900 (6 nm),Android 11,Android 14,ColorOS 14,2/20/2022,https://www.gsmarena.com/oppo_find_x5_lite-11323.php
Oppo Reno7 5G,Phone,Mediatek Dimensity 900 (6 nm),Android 11,Android 14,ColorOS 14,2/20/2022,https://www.gsmarena.com/oppo_reno7_5g-11350.php
Oppo Find X5,Phone,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Android 12,Android 14,ColorOS 14,2/20/2022,https://www.gsmarena.com/oppo_find_x5-11378.php
Oppo Find X5 Pro,Phone,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) – Global,Android 12,Android 14,ColorOS 14,2/20/2022,https://www.gsmarena.com/oppo_find_x5_pro-11236.php
Oppo A36,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 11,Android 13,ColorOS 13,1/21/2022,https://www.gsmarena.com/oppo_a36-11314.php
Oppo K10 Energy,Phone,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Android 11,Android 14�16,ColorOS 14�16,7/20/2022,https://www.gsmarena.com/oppo_k10_energy-11713.php
Oppo Reno8,Phone,Mediatek Dimensity 1300 (6 nm),Android 12,Android 14,ColorOS 14,7/20/2022,https://www.gsmarena.com/oppo_reno8-11684.php
Oppo Reno8 Pro,Phone,Mediatek Dimensity 8100 Max (5 nm),Android 12,Android 14,ColorOS 14,7/20/2022,https://www.gsmarena.com/oppo_reno8_pro-11683.php
Oppo Reno8 Lite,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 11,Android 14,ColorOS 14,6/15/2022,https://www.gsmarena.com/oppo_reno8_lite-11513.php
Oppo A77,Phone,Mediatek Dimensity 810 (6 nm),Android 12,Android 14,ColorOS 14,6/15/2022,https://www.gsmarena.com/oppo_a77-11599.php
Oppo K10 5G,Phone,Mediatek Dimensity 810 (6 nm),Android 12,Android 14�16,ColorOS 14�16,6/15/2022,https://www.gsmarena.com/oppo_k10_5g-11610.php
Oppo A16e,Phone,Mediatek MT6762D Helio P22 (12 nm),Android 11,Android 13,ColorOS 13,3/20/2022,https://www.gsmarena.com/oppo_a16e-11433.php
Oppo K10,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 11,Android 14�16,ColorOS 14�16,3/20/2022,https://www.gsmarena.com/oppo_k10-11438.php
Oppo Reno7,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 12,Android 14,ColorOS 14,3/20/2022,https://www.gsmarena.com/oppo_reno7-11448.php
Oppo Reno7 Z 5G,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 12,Android 14,ColorOS 14,3/20/2022,https://www.gsmarena.com/oppo_reno7_z_5g-11397.php
Oppo A57 4G,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 12,Android 14,ColorOS 14,5/14/2022,https://www.gsmarena.com/oppo_a57_4g-11565.php
Oppo Reno8 (China),Phone,Mediatek Dimensity 1300 (6 nm),Android 12,Android 14,ColorOS 14,5/14/2022,https://www.gsmarena.com/oppo_reno8_(china)-11541.php
Oppo Reno8 Pro+,Phone,Mediatek Dimensity 8100 Max (5 nm),Android 12,Android 14,ColorOS 14,5/14/2022,https://www.gsmarena.com/oppo_reno8_pro+-11543.php
Oppo Reno8 Pro (China),Phone,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Android 12,Android 14,ColorOS 14,5/14/2022,https://www.gsmarena.com/oppo_reno8_pro_(china)-11542.php
Oppo A58 (China),Phone,Mediatek Dimensity 700 (7 nm),Android 12,Android 14,ColorOS 14,11/18/2022,https://www.gsmarena.com/oppo_a58_(china)-11967.php
Oppo A1 Pro,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 13,Android 15,ColorOS 14�15,11/18/2022,https://www.gsmarena.com/oppo_a1_pro-11981.php
Oppo Reno9,Phone,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Android 13,Android 15,ColorOS 15,11/18/2022,https://www.gsmarena.com/oppo_reno9-11998.php
Oppo Reno9 Pro+,Phone,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Android 13,Android 15,ColorOS 15,11/18/2022,https://www.gsmarena.com/oppo_reno9_pro+-11996.php
Oppo Reno9 Pro,Phone,Mediatek Dimensity 8100 Max (5 nm),Android 13,Android 15,ColorOS 15,11/18/2022,https://www.gsmarena.com/oppo_reno9_pro-11997.php
Oppo A17k,Phone,Mediatek MT6765 Helio G35 (12 nm),Android 12,Android 14,ColorOS 14,10/1/2022,https://www.gsmarena.com/oppo_a17k-11936.php
Oppo A77s,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 12,Android 14,ColorOS 14,10/1/2022,https://www.gsmarena.com/oppo_a77s-11907.php
Oppo A17,Phone,Mediatek MT6765 Helio G35 (12 nm),Android 12,Android 14,ColorOS 14,9/1/2022,https://www.gsmarena.com/oppo_a17-11902.php
Oppo K10x,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 12,Android 14�16,ColorOS 14�16,9/1/2022,https://www.gsmarena.com/oppo_k10x-11877.php
Oppo A1,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 13,Android 15,ColorOS 14�15,3/23/2026,https://www.gsmarena.com/oppo_a1-12213.php
Oppo Find N3 Flip,Phone,Mediatek Dimensity 9200 (4 nm),Android 13,Android 15,ColorOS 14�15,8/23/2023,https://www.gsmarena.com/oppo_find_n3_flip-12531.php
Oppo A59,Phone,Mediatek Dimensity 6020 (7 nm),Android 13,Android 15,ColorOS 14�15,12/23/2023,https://www.gsmarena.com/oppo_a59-12754.php
Oppo Reno8 T,Phone,Mediatek Helio G99 (6 nm),Android 13,Android 14,ColorOS 14,2/20/2023,https://www.gsmarena.com/oppo_reno8_t-12109.php
Oppo Reno8 T 5G,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 13,Android 14,ColorOS 14,2/20/2023,https://www.gsmarena.com/oppo_reno8_t_5g-12069.php
Oppo A56s,Phone,Mediatek Dimensity 810 (6 nm),Android 12,Android 14,ColorOS 14,1/21/2023,https://www.gsmarena.com/oppo_a56s-12064.php
Oppo A78,Phone,Mediatek Dimensity 700 (7 nm),Android 12,Android 14,ColorOS 14,1/21/2023,https://www.gsmarena.com/oppo_a78-12073.php
Oppo A58 4G,Phone,Mediatek MT6769 Helio G85 (12 nm),Android 13,Android 15,ColorOS 14�15,7/20/2023,https://www.gsmarena.com/oppo_a58_4g-12436.php
Oppo A78 4G,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 13,Android 14,ColorOS 14,7/20/2023,https://www.gsmarena.com/oppo_a78_4g-12387.php
Oppo K11,Phone,Qualcomm Snapdragon 782G (6 nm),Android 13,Android 14�16,ColorOS 14�16,7/20/2023,https://www.gsmarena.com/oppo_k11-12390.php
Oppo Reno10,Phone,Mediatek Dimensity 7050 (6 nm),Android 13,Android 15,ColorOS 14�15,7/20/2023,https://www.gsmarena.com/oppo_reno10-12414.php
Oppo Reno10 Pro,Phone,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Android 13,Android 15,ColorOS 14�15,7/20/2023,https://www.gsmarena.com/oppo_reno10_pro-12413.php
Oppo A1x,Phone,Mediatek Dimensity 700 (7 nm),Android 12,Android 14,ColorOS 14,3/20/2023,https://www.gsmarena.com/oppo_a1x-12208.php
Oppo Find X6,Phone,Mediatek Dimensity 9200 (4 nm),Android 13,Android 15�16,ColorOS 15�16,3/20/2023,https://www.gsmarena.com/oppo_find_x6-12106.php
Oppo Find X6 Pro,Phone,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Android 13,Android 15�16,ColorOS 15�16,3/20/2023,https://www.gsmarena.com/oppo_find_x6_pro-12105.php
Oppo F23,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 13,Android 14�15,ColorOS 14�15,5/14/2023,https://www.gsmarena.com/oppo_f23-12270.php
Oppo Reno10 (China),Phone,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Android 13,Android 14,ColorOS 14,5/14/2023,https://www.gsmarena.com/oppo_reno10_(china)-12277.php
Oppo Reno10 Pro (China),Phone,Mediatek Dimensity 8200 (4 nm),Android 13,Android 14,ColorOS 14,5/14/2023,https://www.gsmarena.com/oppo_reno10_pro_(china)-12276.php
Oppo K11x,Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 13,Android 14�16,ColorOS 14�16,5/14/2023,https://www.gsmarena.com/oppo_k11x-12295.php
Oppo Reno10 Pro+,Phone,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Android 13,Android 15,ColorOS 14�15,5/14/2023,https://www.gsmarena.com/oppo_reno10_pro+-12275.php
Oppo A2,Phone,Mediatek Dimensity 6020 (7 nm),Android 13,Android 15,ColorOS 14�15,11/18/2022,https://www.gsmarena.com/oppo_a2-12683.php
Oppo Reno11 (China),Phone,Mediatek Dimensity 8200 (4 nm),Android 14,Android 15,ColorOS 14�15,11/18/2023,https://www.gsmarena.com/oppo_reno11_(china)-12707.php
Oppo Reno11 Pro (China),Phone,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Android 14,Android 15,ColorOS 14�15,11/18/2023,https://www.gsmarena.com/oppo_reno11_pro_(china)-12706.php
Oppo Find N3,Phone,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Android 13,Android 15�16,ColorOS 15�16,10/1/2023,https://www.gsmarena.com/oppo_find_n3-12205.php
Oppo A2x,Phone,Mediatek Dimensity 6020 (7 nm),Android 13,Android 15,ColorOS 14�15,10/1/2023,https://www.gsmarena.com/oppo_a2x-12621.php
Oppo A79,Phone,Mediatek Dimensity 6020 (7 nm),Android 13,Android 14,ColorOS 14,10/1/2023,https://www.gsmarena.com/oppo_a79-12636.php
Oppo A18,Phone,Mediatek MT6769 Helio G85 (12 nm),Android 13,Android 15,ColorOS 14�15,9/1/2023,https://www.gsmarena.com/oppo_a18-12591.php
Oppo A2 Pro,Phone,Mediatek Dimensity 7050 (6 nm),Android 13,Android 15,ColorOS 14�15,9/1/2023,https://www.gsmarena.com/oppo_a2_pro-12551.php
Oppo A38,Phone,Mediatek MT6769 Helio G85 (12 nm),Android 13,Android 15,ColorOS 14�15,9/1/2023,https://www.gsmarena.com/oppo_a38-12541.php
Oppo A3 Pro (China),Phone,Mediatek Dimensity 7050 (6 nm),Android 14,Android 15,ColorOS 14�15,4/24/2026,https://www.gsmarena.com/oppo_a3_pro_(china)-12932.php
Oppo A60,Phone,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Android 14,Android 15,ColorOS 14�15,4/24/2026,https://www.gsmarena.com/oppo_a60-12964.php
Oppo K12,Phone,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Android 14,Android 14�16,ColorOS 14�16,4/24/2026,https://www.gsmarena.com/oppo_k12-12949.php
Oppo A3,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,8/24/2024,https://www.gsmarena.com/oppo_a3-13269.php
Oppo A3 4G,Phone,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Android 14,Android 15,ColorOS 14�15,8/24/2024,https://www.gsmarena.com/oppo_a3_4g-13275.php
Oppo A3x,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,8/24/2024,https://www.gsmarena.com/oppo_a3x-13257.php
Oppo A3x 4G,Phone,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Android 14,Android 15,ColorOS 14�15,8/24/2024,https://www.gsmarena.com/oppo_a3x_4g-13261.php
Oppo A80,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,8/24/2024,https://www.gsmarena.com/oppo_a80-13292.php
Oppo F27,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,8/24/2024,https://www.gsmarena.com/oppo_f27-13270.php
Oppo A5 Pro (China),Phone,Mediatek Dimensity 7300 (4 nm),Android 15,Android 16,ColorOS 15,12/23/2024,https://www.gsmarena.com/oppo_a5_pro_(china)-13491.php
Oppo F25 Pro,Phone,Mediatek Dimensity 7050 (6 nm),Android 14,Android 15,ColorOS 14�15,2/20/2024,https://www.gsmarena.com/oppo_f25_pro-12854.php
Oppo Reno11 F,Phone,Mediatek Dimensity 7050 (6 nm),Android 14,Android 15,ColorOS 14�15,2/20/2024,https://www.gsmarena.com/oppo_reno11_f-12797.php
Oppo Find X7,Phone,Mediatek Dimensity 9300 (4 nm),Android 14,Android 15�16,ColorOS 15�16,1/21/2024,https://www.gsmarena.com/oppo_find_x7-12778.php
Oppo Reno11,Phone,Mediatek Dimensity 7050 (6 nm),Android 14,Android 15,ColorOS 14�15,1/21/2024,https://www.gsmarena.com/oppo_reno11-12791.php
Oppo Reno11 Pro,Phone,Mediatek Dimensity 8200 (4 nm),Android 14,Android 15,ColorOS 14�15,1/21/2024,https://www.gsmarena.com/oppo_reno11_pro-12790.php
Oppo Find X7 Ultra,Phone,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Android 14,Android 15�16,ColorOS 15�16,1/21/2024,https://www.gsmarena.com/oppo_find_x7_ultra-12752.php
Oppo A3 (China),Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 14,Android 15,ColorOS 14�15,7/20/2024,https://www.gsmarena.com/oppo_a3_(china)-13163.php
Oppo A3x (China),Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,7/20/2024,https://www.gsmarena.com/oppo_a3x_(china)-13233.php
Oppo K12x,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 14�16,ColorOS 14�16,7/20/2024,https://www.gsmarena.com/oppo_k12x-13237.php
Oppo Reno12 F 4G,Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 14,Android 15,ColorOS 14�15,7/20/2024,https://www.gsmarena.com/oppo_reno12_f_4g-13216.php
Oppo A3 Pro,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,6/15/2024,https://www.gsmarena.com/oppo_a3_pro-13160.php
Oppo F27 Pro+,Phone,Mediatek Dimensity 7050 (6 nm),Android 14,Android 15,ColorOS 14�15,6/15/2024,https://www.gsmarena.com/oppo_f27_pro+-13126.php
Oppo F27 Pro,Phone,Mediatek Dimensity 7050 (6 nm),Android 14,Android 15,ColorOS 14�15,6/15/2024,https://www.gsmarena.com/oppo_f27_pro-13101.php
Oppo Reno12,Phone,Mediatek Dimensity 7300 Energy (4 nm),Android 14,Android 15,ColorOS 14�15,6/15/2024,https://www.gsmarena.com/oppo_reno12-13133.php
Oppo Reno12 F,Phone,Mediatek Dimensity 6300 (6 nm),Android 14,Android 15,ColorOS 14�15,6/15/2024,https://www.gsmarena.com/oppo_reno12_f-13182.php
Oppo Reno12 Pro,Phone,Mediatek Dimensity 7300 Energy (4 nm),Android 14,Android 15,ColorOS 14�15,6/15/2024,https://www.gsmarena.com/oppo_reno12_pro-13132.php
Oppo K12x (China),Phone,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Android 14,Android 14�16,ColorOS 14�16,3/20/2024,https://www.gsmarena.com/oppo_k12x_(china)-13001.php
Oppo Reno12 (China),Phone,Mediatek Dimensity 8250 (4 nm),Android 14,Android 15,ColorOS 14�15,5/14/2024,https://www.gsmarena.com/oppo_reno12_(china)-13046.php
Oppo Reno12 Pro (China),Phone,Mediatek Dimensity 9200+ (4 nm),Android 14,Android 15,ColorOS 14�15,5/14/2024,https://www.gsmarena.com/oppo_reno12_pro_(china)-13045.php
Oppo Reno13,Phone,Mediatek Dimensity 8350 (4 nm),Android 15,Android 16,ColorOS 15,11/18/2024,https://www.gsmarena.com/oppo_reno13-13515.php
Oppo Reno13 Pro,Phone,Mediatek Dimensity 8350 (4 nm),Android 15,Android 16,ColorOS 15,11/18/2024,https://www.gsmarena.com/oppo_reno13_pro-13514.php
Oppo K12 Plus,Phone,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Android 14,Android 14�16,ColorOS 14�16,10/1/2024,https://www.gsmarena.com/oppo_k12_plus-13409.php
Oppo Find X8,Phone,Mediatek Dimensity 9400 (3 nm),Android 15,Android 15�16,ColorOS 15�16,10/1/2024,https://www.gsmarena.com/oppo_find_x8-13407.php
Oppo Find X8 Pro,Phone,Mediatek Dimensity 9400 (3 nm),Android 15,Android 15�16,ColorOS 15�16,10/1/2024,https://www.gsmarena.com/oppo_find_x8_pro-13467.php
Oppo Find X8 Ultra,Phone,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Android 15,Android 15�16,ColorOS 15�16,4/1/2025,https://www.gsmarena.com/oppo_find_x8_ultra-13753.php
Oppo Find X8s+,Phone,Mediatek Dimensity 9400+ (3 nm),Android 15,Android 15�16,ColorOS 15�16,4/1/2025,https://www.gsmarena.com/oppo_find_x8s+_5g-13770.php
Oppo Find X8s,Phone,Mediatek Dimensity 9400+ (3 nm),Android 15,Android 15�16,ColorOS 15�16,4/1/2025,https://www.gsmarena.com/oppo_find_x8s_5g-13769.php
Oppo K13,Phone,Qualcomm Snapdragon 6 Gen 4 (4 nm),Android 15,Android 14�16,ColorOS 14�16,4/25/2026,https://www.gsmarena.com/oppo_k13_5g-13789.php
Oppo A6x 4G,Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 15,Android 16,ColorOS 15,12/23/2025,https://www.gsmarena.com/oppo_a6x-14322.php
Oppo A6x (India),Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,12/23/2025,https://www.gsmarena.com/oppo_a6x_5g-14321.php
Oppo Reno 15c,Phone,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Android 16,Android 16,ColorOS 16,12/1/2025,https://www.gsmarena.com/oppo_reno_15c_5g-14347.php
Oppo A5 Pro,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,2/20/2025,https://www.gsmarena.com/oppo_a5_pro-13675.php
Oppo Find N5,Phone,Qualcomm SM8750-3-AB Snapdragon 8 Elite (3 nm),Android 15,Android 4�5,ColorOS 15,2/20/2025,https://www.gsmarena.com/oppo_find_n5-13659.php
Oppo Reno13 F,Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 15,Android 16,ColorOS 15,1/25/2025,https://www.gsmarena.com/oppo_reno13_f-13607.php
Oppo Reno13 F 4G,Phone,Mediatek Helio G100 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2025,https://www.gsmarena.com/oppo_reno13_f_4g-13608.php
Oppo K13 Turbo,Phone,Mediatek Dimensity 8450 (4 nm),Android 15,Android 14�16,ColorOS 14�16,7/20/2025,https://www.gsmarena.com/oppo_k13_turbo_5g-14022.php
Oppo K13 Turbo Pro,Phone,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Android 15,Android 14�16,ColorOS 14�16,7/20/2025,https://www.gsmarena.com/oppo_k13_turbo_pro_5g-14013.php
Oppo K13x,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 14�16,ColorOS 14�16,6/15/2025,https://www.gsmarena.com/oppo_k13x_5g-13978.php
Oppo Reno14 F,Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 15,Android 16,ColorOS 15,7/15/2025,https://www.gsmarena.com/oppo_reno14_f_5g-13977.php
Oppo A5 (China),Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 15,Android 16,ColorOS 15,3/20/2025,https://www.gsmarena.com/oppo_a5_(china)-13736.php
Oppo A5 Energy,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,3/20/2025,https://www.gsmarena.com/oppo_a5_energy-13735.php
Oppo A5 Pro 4G,Phone,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Android 15,Android 16,ColorOS 15,3/20/2025,https://www.gsmarena.com/oppo_a5_pro_4g-13738.php
Oppo F29,Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 15,Android 16,ColorOS 15,3/25/2026,https://www.gsmarena.com/oppo_f29-13722.php
Oppo F29 Pro,Phone,Mediatek Dimensity 7300 Energy (4 nm),Android 15,Android 16,ColorOS 15,3/25/2026,https://www.gsmarena.com/oppo_f29_pro-13720.php
Oppo A5 4G,Phone,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Android 15,Android 16,ColorOS 15,5/14/2025,https://www.gsmarena.com/oppo_a5_4g-13871.php
Oppo A5,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,5/14/2025,https://www.gsmarena.com/oppo_a5_5g-13872.php
Oppo A5x 4G,Phone,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),Android 15,Android 16,ColorOS 15,5/14/2025,https://www.gsmarena.com/oppo_a5x-13873.php
Oppo A5x,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,5/14/2025,https://www.gsmarena.com/oppo_a5x_5g-13898.php
